,Country,Year,Fossil fuels,Gas,Coal,Oil,Solar,Wind,Low-cacbon,Renewables,Hydropower
187,Iceland,2002,,,"4,129 kWh","32,558 kWh",0 kWh,0 kWh,,"84,617 kWh","70,696 kWh"
188,India,2002,"3,269 kWh",242 kWh,"1,833 kWh","1,194 kWh",0 kWh,6 kWh,"3,269 kWh",202 kWh,182 kWh
189,Indonesia,2002,"5,601 kWh","1,686 kWh",911 kWh,"3,005 kWh",0 kWh,0 kWh,"5,601 kWh",214 kWh,132 kWh
190,Iran,2002,"23,808 kWh","11,618 kWh",209 kWh,"11,980 kWh",0 kWh,1 kWh,"23,808 kWh",349 kWh,347 kWh
191,Iraq,2002,,854 kWh,,"11,688 kWh",0 kWh,0 kWh,,507 kWh,507 kWh
192,Ireland,2002,"45,529 kWh","11,008 kWh","7,865 kWh","26,655 kWh",0 kWh,291 kWh,"45,529 kWh","1,041 kWh",684 kWh
193,Israel,2002,"36,430 kWh",13 kWh,"13,963 kWh","22,453 kWh",0 kWh,5 kWh,"36,430 kWh",33 kWh,10 kWh
194,Italy,2002,"34,008 kWh","11,838 kWh","2,796 kWh","19,374 kWh",1 kWh,72 kWh,"34,008 kWh","2,473 kWh","2,020 kWh"
195,Japan,2002,"39,442 kWh","5,974 kWh","9,489 kWh","23,980 kWh",16 kWh,9 kWh,"39,442 kWh","2,288 kWh","1,848 kWh"
196,Kazakhstan,2002,"25,947 kWh","2,678 kWh","17,130 kWh","6,139 kWh",0 kWh,0 kWh,"25,947 kWh","1,692 kWh","1,692 kWh"
197,Kuwait,2002,"110,791 kWh","40,415 kWh",2 kWh,"70,374 kWh",0 kWh,0 kWh,"110,791 kWh",,
198,Latvia,2002,"14,516 kWh","6,485 kWh",495 kWh,"7,536 kWh",0 kWh,14 kWh,"14,516 kWh","3,119 kWh","3,092 kWh"
199,Lithuania,2002,"16,141 kWh","7,180 kWh",447 kWh,"8,514 kWh",0 kWh,0 kWh,"16,141 kWh",297 kWh,293 kWh
200,Luxembourg,2002,"96,729 kWh","27,824 kWh","1,922 kWh","66,982 kWh",0 kWh,160 kWh,"96,729 kWh","1,007 kWh",653 kWh
201,Malaysia,2002,"26,595 kWh","11,635 kWh","1,753 kWh","13,208 kWh",0 kWh,0 kWh,"26,595 kWh",708 kWh,655 kWh
202,Mexico,2002,"15,874 kWh","4,070 kWh","1,388 kWh","10,416 kWh",0 kWh,1 kWh,"15,874 kWh",900 kWh,719 kWh
203,Morocco,2002,"4,337 kWh",19 kWh,"1,347 kWh","2,970 kWh",0 kWh,19 kWh,"4,337 kWh",103 kWh,84 kWh
204,Netherlands,2002,"63,691 kWh","25,781 kWh","6,020 kWh","31,889 kWh",3 kWh,172 kWh,"63,691 kWh",773 kWh,20 kWh
205,New Zealand,2002,"38,643 kWh","14,988 kWh","4,031 kWh","19,623 kWh",0 kWh,115 kWh,"38,643 kWh","20,946 kWh","18,386 kWh"
206,North Macedonia,2002,"12,666 kWh",380 kWh,"7,237 kWh","5,049 kWh",0 kWh,0 kWh,"12,666 kWh","1,070 kWh","1,070 kWh"
207,Norway,2002,"36,933 kWh","9,233 kWh","1,966 kWh","25,734 kWh",3 kWh,48 kWh,"36,933 kWh","83,431 kWh","83,204 kWh"
208,Oman,2002,"55,332 kWh","36,728 kWh",2 kWh,"18,602 kWh",0 kWh,0 kWh,"55,332 kWh",,
209,Pakistan,2002,"2,733 kWh","1,259 kWh",168 kWh,"1,306 kWh",0 kWh,0 kWh,"2,733 kWh",384 kWh,365 kWh
210,Peru,2002,"3,518 kWh",156 kWh,333 kWh,"3,029 kWh",,0 kWh,"3,518 kWh","1,955 kWh","1,926 kWh"
211,Philippines,2002,"3,112 kWh",207 kWh,605 kWh,"2,300 kWh",0 kWh,0 kWh,"3,112 kWh",605 kWh,253 kWh
212,Poland,2002,"25,652 kWh","3,043 kWh","16,409 kWh","6,200 kWh",0 kWh,5 kWh,"25,652 kWh",212 kWh,172 kWh
213,Portugal,2002,"25,560 kWh","3,003 kWh","3,902 kWh","18,655 kWh",1 kWh,101 kWh,"25,560 kWh","2,761 kWh","2,183 kWh"
214,Qatar,2002,,"160,599 kWh",,"38,545 kWh",0 kWh,0 kWh,,,
215,Romania,2002,"17,504 kWh","7,320 kWh","4,400 kWh","5,784 kWh",0 kWh,0 kWh,"17,504 kWh","2,163 kWh","2,163 kWh"
216,Russia,2002,"44,151 kWh","25,872 kWh","8,276 kWh","10,002 kWh",0 kWh,0 kWh,"44,151 kWh","3,255 kWh","3,251 kWh"
217,Saudi Arabia,2002,"65,480 kWh","23,809 kWh",6 kWh,"41,664 kWh",0 kWh,0 kWh,"65,480 kWh",,
218,Singapore,2002,"115,095 kWh","11,271 kWh",19 kWh,"103,806 kWh",0 kWh,0 kWh,"115,095 kWh",,
219,Slovakia,2002,"29,813 kWh","12,695 kWh","9,269 kWh","7,849 kWh",0 kWh,0 kWh,"29,813 kWh","2,957 kWh","2,861 kWh"
220,Slovenia,2002,"28,379 kWh","4,805 kWh","9,191 kWh","14,382 kWh",0 kWh,0 kWh,"28,379 kWh","5,039 kWh","4,875 kWh"
221,South Africa,2002,"23,488 kWh",292 kWh,"17,385 kWh","5,811 kWh",1 kWh,0 kWh,"23,488 kWh",170 kWh,128 kWh
222,South Korea,2002,"43,584 kWh","5,109 kWh","12,075 kWh","26,400 kWh",0 kWh,1 kWh,"43,584 kWh",213 kWh,199 kWh
223,Spain,2002,"32,173 kWh","5,257 kWh","6,056 kWh","20,860 kWh",2 kWh,657 kWh,"32,173 kWh","2,510 kWh","1,613 kWh"
224,Sri Lanka,2002,,,7 kWh,"2,380 kWh",0 kWh,1 kWh,,413 kWh,412 kWh
225,Sweden,2002,"27,161 kWh","1,040 kWh","3,890 kWh","22,232 kWh",1 kWh,199 kWh,"27,161 kWh","23,392 kWh","21,699 kWh"
226,Switzerland,2002,"24,858 kWh","3,973 kWh",212 kWh,"20,672 kWh",6 kWh,2 kWh,"24,858 kWh","14,515 kWh","14,109 kWh"
227,Taiwan,2002,"43,291 kWh","3,628 kWh","16,551 kWh","23,112 kWh",0 kWh,2 kWh,"43,291 kWh",590 kWh,361 kWh
228,Thailand,2002,"12,836 kWh","4,156 kWh","1,696 kWh","6,984 kWh",0 kWh,0 kWh,"12,836 kWh",372 kWh,335 kWh
229,Trinidad and Tobago,2002,"103,311 kWh","87,154 kWh",0 kWh,"16,157 kWh",3 kWh,0 kWh,"103,311 kWh",,
230,Turkey,2002,"11,524 kWh","2,522 kWh","3,397 kWh","5,606 kWh",0 kWh,2 kWh,"11,524 kWh","1,503 kWh","1,490 kWh"
231,Turkmenistan,2002,,"15,956 kWh",,"11,189 kWh",0 kWh,0 kWh,,2 kWh,2 kWh
232,USSR,2002,,,,,,,,,
233,Ukraine,2002,"27,235 kWh","14,755 kWh","9,154 kWh","3,325 kWh",0 kWh,1 kWh,"27,235 kWh",587 kWh,586 kWh
234,United Arab Emirates,2002,"162,836 kWh","97,777 kWh",302 kWh,"64,757 kWh",0 kWh,0 kWh,"162,836 kWh",,
235,United Kingdom,2002,"39,616 kWh","16,769 kWh","6,997 kWh","15,850 kWh",0 kWh,62 kWh,"39,616 kWh",571 kWh,235 kWh
236,United States,2002,"79,563 kWh","21,505 kWh","21,149 kWh","36,908 kWh",6 kWh,106 kWh,"79,563 kWh","3,662 kWh","2,613 kWh"
237,Uzbekistan,2002,"23,406 kWh","19,751 kWh",384 kWh,"3,270 kWh",0 kWh,0 kWh,"23,406 kWh",706 kWh,706 kWh
238,Venezuela,2002,"27,094 kWh","12,452 kWh",8 kWh,"14,634 kWh",0 kWh,0 kWh,"27,094 kWh","6,860 kWh","6,860 kWh"
239,Vietnam,2002,"2,624 kWh",287 kWh,844 kWh,"1,493 kWh",0 kWh,0 kWh,"2,624 kWh",659 kWh,659 kWh
240,Algeria,2003,"10,486 kWh","6,424 kWh",220 kWh,"3,842 kWh",0 kWh,0 kWh,"10,486 kWh",24 kWh,24 kWh
241,Argentina,2003,"15,136 kWh","8,785 kWh",146 kWh,"6,205 kWh",0 kWh,6 kWh,"15,136 kWh","2,640 kWh","2,561 kWh"
242,Australia,2003,"66,309 kWh","11,673 kWh","31,272 kWh","23,365 kWh",9 kWh,104 kWh,"66,309 kWh","2,774 kWh","2,387 kWh"
243,Austria,2003,"37,821 kWh","11,038 kWh","5,856 kWh","20,928 kWh",5 kWh,131 kWh,"37,821 kWh","12,702 kWh","11,863 kWh"
244,Azerbaijan,2003,"15,229 kWh","9,208 kWh",4 kWh,"6,016 kWh",0 kWh,0 kWh,"15,229 kWh",846 kWh,846 kWh
245,Bangladesh,2003,"1,192 kWh",841 kWh,30 kWh,322 kWh,0 kWh,0 kWh,"1,192 kWh",16 kWh,16 kWh
246,Belarus,2003,"25,284 kWh","15,181 kWh",733 kWh,"9,370 kWh",0 kWh,0 kWh,"25,284 kWh",8 kWh,8 kWh
247,Belgium,2003,"60,190 kWh","16,214 kWh","6,734 kWh","37,242 kWh",0 kWh,25 kWh,"60,190 kWh",356 kWh,69 kWh
248,Brazil,2003,"7,447 kWh",890 kWh,818 kWh,"5,740 kWh",0 kWh,1 kWh,"7,447 kWh","5,461 kWh","4,853 kWh"
249,Bulgaria,2003,"21,291 kWh","3,389 kWh","10,864 kWh","7,038 kWh",0 kWh,0 kWh,"21,291 kWh","1,109 kWh","1,109 kWh"
250,Canada,2003,"78,920 kWh","28,395 kWh","11,713 kWh","38,811 kWh",2 kWh,63 kWh,"78,920 kWh","31,900 kWh","30,831 kWh"
251,Chile,2003,"15,859 kWh","5,469 kWh","1,781 kWh","8,608 kWh",0 kWh,1 kWh,"15,859 kWh","4,476 kWh","4,133 kWh"
252,China,2003,"11,529 kWh",265 kWh,"8,754 kWh","2,510 kWh",0 kWh,2 kWh,"11,529 kWh",651 kWh,638 kWh
253,Colombia,2003,"5,269 kWh","1,400 kWh",687 kWh,"3,181 kWh",0 kWh,0 kWh,"5,269 kWh","2,594 kWh","2,555 kWh"
254,Croatia,2003,"20,284 kWh","6,142 kWh","1,694 kWh","12,448 kWh",0 kWh,0 kWh,"20,284 kWh","3,548 kWh","3,548 kWh"
255,Cyprus,2003,,,512 kWh,"31,565 kWh",0 kWh,0 kWh,,,
256,Czechia,2003,"42,570 kWh","8,900 kWh","23,568 kWh","10,103 kWh",0 kWh,1 kWh,"42,570 kWh",614 kWh,391 kWh
257,Denmark,2003,"42,822 kWh","10,083 kWh","12,357 kWh","20,382 kWh",1 kWh,"2,988 kWh","42,822 kWh","4,476 kWh",11 kWh
258,Ecuador,2003,"6,449 kWh",174 kWh,66 kWh,"6,209 kWh",0 kWh,0 kWh,"6,449 kWh","1,566 kWh","1,566 kWh"
259,Egypt,2003,"7,999 kWh","3,763 kWh",130 kWh,"4,106 kWh",0 kWh,11 kWh,"7,999 kWh",505 kWh,494 kWh
260,Estonia,2003,"45,734 kWh","5,770 kWh","28,143 kWh","11,822 kWh",0 kWh,13 kWh,"45,734 kWh",101 kWh,27 kWh
261,Finland,2003,"52,483 kWh","9,016 kWh","18,337 kWh","25,130 kWh",1 kWh,52 kWh,"52,483 kWh","11,141 kWh","5,336 kWh"
262,France,2003,"28,967 kWh","7,656 kWh","2,645 kWh","18,667 kWh",0 kWh,19 kWh,"28,967 kWh","3,140 kWh","2,862 kWh"
263,Germany,2003,"41,859 kWh","10,864 kWh","12,460 kWh","18,534 kWh",11 kWh,680 kWh,"41,859 kWh","1,796 kWh",653 kWh
264,Greece,2003,"34,310 kWh","2,117 kWh","9,444 kWh","22,749 kWh",0 kWh,267 kWh,"34,310 kWh","1,541 kWh","1,244 kWh"
265,Hong Kong,2003,"36,507 kWh","2,519 kWh","11,416 kWh","22,572 kWh",0 kWh,0 kWh,"36,507 kWh",,
266,Hungary,2003,"24,977 kWh","13,662 kWh","4,172 kWh","7,143 kWh",0 kWh,1 kWh,"24,977 kWh",101 kWh,49 kWh
267,Iceland,2003,,,"4,026 kWh","32,680 kWh",0 kWh,0 kWh,,"84,363 kWh","70,874 kWh"
268,India,2003,"3,337 kWh",254 kWh,"1,886 kWh","1,196 kWh",0 kWh,7 kWh,"3,337 kWh",202 kWh,180 kWh
269,Indonesia,2003,"6,024 kWh","1,773 kWh","1,206 kWh","3,045 kWh",0 kWh,0 kWh,"6,024 kWh",201 kWh,118 kWh
270,Iran,2003,"23,962 kWh","11,813 kWh",225 kWh,"11,924 kWh",0 kWh,1 kWh,"23,962 kWh",410 kWh,409 kWh
271,Iraq,2003,,547 kWh,,"10,176 kWh",0 kWh,0 kWh,,510 kWh,510 kWh
272,Ireland,2003,"43,835 kWh","10,750 kWh","7,490 kWh","25,595 kWh",0 kWh,333 kWh,"43,835 kWh",840 kWh,438 kWh
273,Israel,2003,"36,843 kWh",12 kWh,"14,205 kWh","22,626 kWh",0 kWh,5 kWh,"36,843 kWh",38 kWh,14 kWh
274,Italy,2003,"35,063 kWh","12,979 kWh","3,000 kWh","19,084 kWh",1 kWh,74 kWh,"35,063 kWh","2,373 kWh","1,852 kWh"
275,Japan,2003,"40,791 kWh","6,549 kWh","9,735 kWh","24,507 kWh",22 kWh,19 kWh,"40,791 kWh","2,580 kWh","2,103 kWh"
276,Kazakhstan,2003,"28,520 kWh","3,038 kWh","18,818 kWh","6,664 kWh",0 kWh,0 kWh,"28,520 kWh","1,622 kWh","1,622 kWh"
277,Kuwait,2003,"128,998 kWh","45,206 kWh",1 kWh,"83,792 kWh",0 kWh,0 kWh,"128,998 kWh",,
278,Latvia,2003,"14,702 kWh","6,540 kWh",450 kWh,"7,712 kWh",0 kWh,61 kWh,"14,702 kWh","2,958 kWh","2,864 kWh"
279,Lithuania,2003,"16,739 kWh","7,891 kWh",585 kWh,"8,262 kWh",0 kWh,0 kWh,"16,739 kWh",278 kWh,272 kWh
280,Luxembourg,2003,"100,331 kWh","27,826 kWh","1,458 kWh","71,046 kWh",9 kWh,168 kWh,"100,331 kWh",929 kWh,510 kWh
281,Malaysia,2003,"28,217 kWh","12,234 kWh","2,497 kWh","13,485 kWh",0 kWh,0 kWh,"28,217 kWh",650 kWh,597 kWh
282,Mexico,2003,"15,949 kWh","4,345 kWh","1,009 kWh","10,595 kWh",0 kWh,1 kWh,"15,949 kWh",763 kWh,562 kWh
283,Morocco,2003,"4,237 kWh",18 kWh,"1,283 kWh","2,936 kWh",0 kWh,20 kWh,"4,237 kWh",161 kWh,141 kWh
284,Netherlands,2003,"63,844 kWh","25,846 kWh","6,201 kWh","31,797 kWh",6 kWh,237 kWh,"63,844 kWh",760 kWh,13 kWh
285,New Zealand,2003,"37,263 kWh","11,101 kWh","5,715 kWh","20,447 kWh",0 kWh,106 kWh,"37,263 kWh","19,472 kWh","17,042 kWh"
286,North Macedonia,2003,"13,515 kWh",337 kWh,"8,307 kWh","4,870 kWh",0 kWh,0 kWh,"13,515 kWh","1,924 kWh","1,924 kWh"
287,Norway,2003,"38,206 kWh","9,890 kWh","1,908 kWh","26,408 kWh",4 kWh,138 kWh,"38,206 kWh","67,382 kWh","67,009 kWh"
288,Oman,2003,"56,737 kWh","39,170 kWh",0 kWh,"17,567 kWh",0 kWh,0 kWh,"56,737 kWh",,
289,Pakistan,2003,"2,876 kWh","1,531 kWh",211 kWh,"1,134 kWh",0 kWh,0 kWh,"2,876 kWh",447 kWh,427 kWh
290,Peru,2003,"3,371 kWh",182 kWh,354 kWh,"2,835 kWh",,0 kWh,"3,371 kWh","1,975 kWh","1,946 kWh"
291,Philippines,2003,"3,154 kWh",310 kWh,603 kWh,"2,241 kWh",0 kWh,0 kWh,"3,154 kWh",605 kWh,275 kWh
292,Poland,2003,"26,597 kWh","3,391 kWh","16,905 kWh","6,301 kWh",0 kWh,9 kWh,"26,597 kWh",181 kWh,125 kWh
293,Portugal,2003,"24,025 kWh","2,884 kWh","3,721 kWh","17,420 kWh",1 kWh,137 kWh,"24,025 kWh","4,941 kWh","4,354 kWh"
294,Qatar,2003,,"174,650 kWh",,"43,023 kWh",0 kWh,0 kWh,,,
295,Romania,2003,"18,115 kWh","7,974 kWh","4,963 kWh","5,177 kWh",0 kWh,0 kWh,"18,115 kWh","1,791 kWh","1,790 kWh"
296,Russia,2003,"45,379 kWh","26,603 kWh","8,365 kWh","10,412 kWh",0 kWh,0 kWh,"45,379 kWh","3,122 kWh","3,115 kWh"
297,Saudi Arabia,2003,"67,781 kWh","24,646 kWh",8 kWh,"43,127 kWh",0 kWh,0 kWh,"67,781 kWh",,
298,Singapore,2003,"107,111 kWh","12,093 kWh",24 kWh,"94,993 kWh",0 kWh,0 kWh,"107,111 kWh",,
299,Slovakia,2003,"29,721 kWh","12,267 kWh","10,046 kWh","7,408 kWh",0 kWh,1 kWh,"29,721 kWh","1,942 kWh","1,878 kWh"
300,Slovenia,2003,"28,530 kWh","5,300 kWh","8,697 kWh","14,532 kWh",0 kWh,0 kWh,"28,530 kWh","4,506 kWh","4,311 kWh"
301,South Africa,2003,"25,329 kWh",219 kWh,"19,145 kWh","5,965 kWh",1 kWh,0 kWh,"25,329 kWh",89 kWh,50 kWh
302,South Korea,2003,"44,333 kWh","5,327 kWh","12,507 kWh","26,499 kWh",0 kWh,2 kWh,"44,333 kWh",313 kWh,298 kWh
303,Spain,2003,"32,396 kWh","5,879 kWh","5,543 kWh","20,973 kWh",3 kWh,829 kWh,"32,396 kWh","3,944 kWh","2,819 kWh"
304,Sri Lanka,2003,,,36 kWh,"2,317 kWh",0 kWh,1 kWh,,499 kWh,499 kWh
305,Sweden,2003,"28,558 kWh","1,032 kWh","3,799 kWh","23,727 kWh",1 kWh,220 kWh,"28,558 kWh","19,154 kWh","17,327 kWh"
306,Switzerland,2003,"24,354 kWh","4,169 kWh",216 kWh,"19,969 kWh",7 kWh,2 kWh,"24,354 kWh","14,168 kWh","13,754 kWh"
307,Taiwan,2003,"45,291 kWh","3,724 kWh","17,547 kWh","24,020 kWh",0 kWh,3 kWh,"45,291 kWh",643 kWh,390 kWh
308,Thailand,2003,"13,697 kWh","4,388 kWh","1,718 kWh","7,592 kWh",0 kWh,0 kWh,"13,697 kWh",383 kWh,323 kWh
309,Trinidad and Tobago,2003,"115,214 kWh","99,886 kWh",0 kWh,"15,328 kWh",4 kWh,0 kWh,"115,214 kWh",,
310,Turkey,2003,"12,071 kWh","2,998 kWh","3,620 kWh","5,452 kWh",0 kWh,3 kWh,"12,071 kWh","1,542 kWh","1,532 kWh"
311,Turkmenistan,2003,,"24,411 kWh",,"12,594 kWh",0 kWh,0 kWh,,2 kWh,2 kWh
312,USSR,2003,,,,,,,,,
313,Ukraine,2003,"28,116 kWh","15,169 kWh","9,481 kWh","3,467 kWh",0 kWh,2 kWh,"28,116 kWh",565 kWh,563 kWh
314,United Arab Emirates,2003,"165,508 kWh","96,849 kWh",338 kWh,"68,320 kWh",0 kWh,0 kWh,"165,508 kWh",,
315,United Kingdom,2003,"40,060 kWh","16,733 kWh","7,429 kWh","15,898 kWh",0 kWh,63 kWh,"40,060 kWh",553 kWh,157 kWh
316,United States,2003,"79,146 kWh","20,686 kWh","21,348 kWh","37,112 kWh",6 kWh,113 kWh,"79,146 kWh","3,788 kWh","2,690 kWh"
317,Uzbekistan,2003,"21,026 kWh","17,581 kWh",296 kWh,"3,149 kWh",0 kWh,0 kWh,"21,026 kWh",801 kWh,801 kWh
318,Venezuela,2003,"24,367 kWh","10,860 kWh",19 kWh,"13,488 kWh",0 kWh,0 kWh,"24,367 kWh","6,809 kWh","6,809 kWh"
319,Vietnam,2003,"2,826 kWh",281 kWh,973 kWh,"1,573 kWh",0 kWh,0 kWh,"2,826 kWh",676 kWh,676 kWh
320,Algeria,2004,"10,737 kWh","6,518 kWh",259 kWh,"3,960 kWh",0 kWh,0 kWh,"10,737 kWh",22 kWh,22 kWh
321,Argentina,2004,"16,352 kWh","9,519 kWh",246 kWh,"6,586 kWh",0 kWh,5 kWh,"16,352 kWh","2,347 kWh","2,270 kWh"
322,Australia,2004,"67,641 kWh","11,771 kWh","32,217 kWh","23,653 kWh",11 kWh,115 kWh,"67,641 kWh","2,845 kWh","2,269 kWh"
323,Austria,2004,"37,008 kWh","11,075 kWh","5,700 kWh","20,233 kWh",6 kWh,326 kWh,"37,008 kWh","14,132 kWh","12,965 kWh"
324,Azerbaijan,2004,"17,059 kWh","10,679 kWh",1 kWh,"6,378 kWh",0 kWh,0 kWh,"17,059 kWh",928 kWh,928 kWh
325,Bangladesh,2004,"1,246 kWh",889 kWh,29 kWh,327 kWh,0 kWh,0 kWh,"1,246 kWh",16 kWh,16 kWh
326,Belarus,2004,"28,499 kWh","18,535 kWh",723 kWh,"9,242 kWh",0 kWh,0 kWh,"28,499 kWh",10 kWh,10 kWh
327,Belgium,2004,"60,171 kWh","16,438 kWh","6,231 kWh","37,501 kWh",0 kWh,39 kWh,"60,171 kWh",443 kWh,87 kWh
328,Brazil,2004,"7,760 kWh","1,046 kWh",848 kWh,"5,866 kWh",0 kWh,1 kWh,"7,760 kWh","5,660 kWh","5,004 kWh"
329,Bulgaria,2004,"20,644 kWh","3,331 kWh","10,450 kWh","6,862 kWh",0 kWh,0 kWh,"20,644 kWh","1,161 kWh","1,161 kWh"
330,Canada,2004,"78,622 kWh","27,520 kWh","10,963 kWh","40,140 kWh",1 kWh,85 kWh,"78,622 kWh","31,678 kWh","30,558 kWh"
331,Chile,2004,"17,316 kWh","5,878 kWh","2,043 kWh","9,396 kWh",0 kWh,1 kWh,"17,316 kWh","4,178 kWh","3,772 kWh"
332,China,2004,"13,366 kWh",308 kWh,"10,144 kWh","2,913 kWh",0 kWh,3 kWh,"13,366 kWh",799 kWh,786 kWh
333,Colombia,2004,"5,460 kWh","1,473 kWh",593 kWh,"3,394 kWh",1 kWh,4 kWh,"5,460 kWh","2,692 kWh","2,652 kWh"
334,Croatia,2004,"19,928 kWh","6,396 kWh","1,806 kWh","11,726 kWh",0 kWh,1 kWh,"19,928 kWh","4,950 kWh","4,946 kWh"
335,Cyprus,2004,,,502 kWh,"30,151 kWh",1 kWh,1 kWh,,,
336,Czechia,2004,"43,519 kWh","8,827 kWh","23,574 kWh","11,118 kWh",0 kWh,3 kWh,"43,519 kWh",827 kWh,567 kWh
337,Denmark,2004,"39,388 kWh","9,999 kWh","9,438 kWh","19,951 kWh",1 kWh,"3,503 kWh","39,388 kWh","5,234 kWh",14 kWh
338,Ecuador,2004,"6,848 kWh",397 kWh,2 kWh,"6,449 kWh",0 kWh,0 kWh,"6,848 kWh","1,579 kWh","1,578 kWh"
339,Egypt,2004,"8,302 kWh","3,936 kWh",130 kWh,"4,236 kWh",0 kWh,19 kWh,"8,302 kWh",496 kWh,477 kWh
340,Estonia,2004,"46,912 kWh","6,611 kWh","28,231 kWh","12,069 kWh",0 kWh,16 kWh,"46,912 kWh",136 kWh,47 kWh
341,Finland,2004,"48,446 kWh","8,661 kWh","16,426 kWh","23,359 kWh",1 kWh,66 kWh,"48,446 kWh","14,758 kWh","8,306 kWh"
342,France,2004,"28,984 kWh","7,768 kWh","2,502 kWh","18,714 kWh",0 kWh,29 kWh,"28,984 kWh","3,150 kWh","2,855 kWh"
343,Germany,2004,"41,429 kWh","10,930 kWh","12,159 kWh","18,341 kWh",20 kWh,923 kWh,"41,429 kWh","2,229 kWh",736 kWh
344,Greece,2004,"34,290 kWh","2,326 kWh","9,677 kWh","22,288 kWh",0 kWh,291 kWh,"34,290 kWh","1,538 kWh","1,211 kWh"
345,Hong Kong,2004,"40,707 kWh","3,624 kWh","10,614 kWh","26,469 kWh",0 kWh,0 kWh,"40,707 kWh",,
346,Hungary,2004,"25,069 kWh","13,494 kWh","3,965 kWh","7,610 kWh",0 kWh,2 kWh,"25,069 kWh",290 kWh,59 kWh
347,Iceland,2004,,,"4,180 kWh","33,886 kWh",0 kWh,0 kWh,,"84,318 kWh","70,295 kWh"
348,India,2004,"3,489 kWh",270 kWh,"1,974 kWh","1,245 kWh",0 kWh,13 kWh,"3,489 kWh",285 kWh,255 kWh
349,Indonesia,2004,"5,879 kWh","1,602 kWh","1,095 kWh","3,182 kWh",0 kWh,0 kWh,"5,879 kWh",209 kWh,123 kWh
350,Iran,2004,"26,027 kWh","13,503 kWh",231 kWh,"12,292 kWh",0 kWh,2 kWh,"26,027 kWh",500 kWh,498 kWh
351,Iraq,2004,,341 kWh,,"10,768 kWh",0 kWh,0 kWh,,595 kWh,595 kWh
352,Ireland,2004,"43,728 kWh","10,537 kWh","6,871 kWh","26,321 kWh",0 kWh,468 kWh,"43,728 kWh","1,005 kWh",450 kWh
353,Israel,2004,"36,894 kWh","1,727 kWh","14,080 kWh","21,086 kWh",0 kWh,5 kWh,"36,894 kWh",36 kWh,12 kWh
354,Italy,2004,"35,237 kWh","13,367 kWh","3,336 kWh","18,535 kWh",1 kWh,92 kWh,"35,237 kWh","2,742 kWh","2,109 kWh"
355,Japan,2004,"40,125 kWh","6,313 kWh","9,980 kWh","23,833 kWh",29 kWh,33 kWh,"40,125 kWh","2,570 kWh","2,069 kWh"
356,Kazakhstan,2004,"30,318 kWh","3,373 kWh","19,924 kWh","7,021 kWh",0 kWh,0 kWh,"30,318 kWh","1,496 kWh","1,496 kWh"
357,Kuwait,2004,"140,627 kWh","48,085 kWh",0 kWh,"92,542 kWh",0 kWh,0 kWh,"140,627 kWh",,
358,Latvia,2004,"16,052 kWh","7,317 kWh",345 kWh,"8,390 kWh",0 kWh,62 kWh,"16,052 kWh","4,074 kWh","3,958 kWh"
359,Lithuania,2004,"17,489 kWh","7,980 kWh",573 kWh,"8,936 kWh",0 kWh,1 kWh,"17,489 kWh",364 kWh,354 kWh
360,Luxembourg,2004,"111,848 kWh","30,380 kWh","2,020 kWh","79,449 kWh",58 kWh,248 kWh,"111,848 kWh","1,258 kWh",655 kWh
361,Malaysia,2004,"29,753 kWh","12,906 kWh","3,043 kWh","13,805 kWh",0 kWh,0 kWh,"29,753 kWh",707 kWh,634 kWh
362,Mexico,2004,"16,584 kWh","4,620 kWh","1,017 kWh","10,947 kWh",0 kWh,1 kWh,"16,584 kWh",903 kWh,698 kWh
363,Morocco,2004,"4,775 kWh",23 kWh,"1,402 kWh","3,350 kWh",0 kWh,19 kWh,"4,775 kWh",172 kWh,153 kWh
364,Netherlands,2004,"65,560 kWh","26,351 kWh","6,089 kWh","33,121 kWh",6 kWh,332 kWh,"65,560 kWh","1,010 kWh",17 kWh
365,New Zealand,2004,"35,646 kWh","9,976 kWh","5,816 kWh","19,854 kWh",0 kWh,255 kWh,"35,646 kWh","21,853 kWh","19,233 kWh"
366,North Macedonia,2004,"13,154 kWh",328 kWh,"7,876 kWh","4,950 kWh",0 kWh,0 kWh,"13,154 kWh","2,057 kWh","2,057 kWh"
367,Norway,2004,"38,232 kWh","10,396 kWh","2,142 kWh","25,694 kWh",4 kWh,158 kWh,"38,232 kWh","68,671 kWh","68,260 kWh"
368,Oman,2004,"51,917 kWh","35,010 kWh",4 kWh,"16,903 kWh",0 kWh,0 kWh,"51,917 kWh",,
369,Pakistan,2004,"3,149 kWh","1,798 kWh",230 kWh,"1,121 kWh",0 kWh,0 kWh,"3,149 kWh",463 kWh,443 kWh
370,Peru,2004,"3,810 kWh",297 kWh,379 kWh,"3,135 kWh",,0 kWh,"3,810 kWh","1,832 kWh","1,810 kWh"
371,Philippines,2004,"3,143 kWh",281 kWh,623 kWh,"2,240 kWh",0 kWh,0 kWh,"3,143 kWh",629 kWh,293 kWh
372,Poland,2004,"26,737 kWh","3,580 kWh","16,419 kWh","6,738 kWh",0 kWh,11 kWh,"26,737 kWh",240 kWh,155 kWh
373,Portugal,2004,"24,906 kWh","3,603 kWh","3,671 kWh","17,633 kWh",1 kWh,224 kWh,"24,906 kWh","3,425 kWh","2,708 kWh"
