Country,Year,Fossil fuels (TWh),Coal (TWh),Oil (TWh),Gas (TWh),Renewables (TWh),Hydropower (TWh),Solar (TWh),Wind (TWh)
Sri Lanka,2012,1570.7,5.3,63.09,411.3,10.0,9.0,0.0,0.0
Sweden,2012,201.0,24.53,166.23,10.65,283.0,216.0,0.0,20.0
Switzerland,2012,172.0,1.44,136.14,34.03,112.0,106.0,1.0,0.0
Taiwan,2012,1155.0,458.43,518.03,178.85,26.0,16.0,0.0,4.0
Thailand,2012,1251.0,191.56,572.84,486.34,51.0,23.0,1.0,0.0
Trinidad and Tobago,2012,226.0,0.0,23.73,202.36,0.0,0.0,0.0,0.0
Turkey,2012,1250.0,424.44,391.92,433.19,180.0,159.0,0.0,16.0
Turkmenistan,2012,1570.7,511.6,72.57,229.38,0.0,0.0,0.0,0.0
Ukraine,2012,1175.0,496.81,159.76,518.39,31.0,29.0,1.0,1.0
United Arab Emirates,2012,1074.0,16.08,418.65,639.31,184.7,123.4,0.0,0.0
United Kingdom,2012,2064.0,451.25,844.02,768.99,130.0,15.0,4.0,54.0
United States,2012,21192.0,4838.4,9472.59,6881.23,1725.0,751.0,25.0,390.0
Uzbekistan,2012,526.0,13.37,49.88,462.38,17.0,17.0,0.0,0.0
Venezuela,2012,791.0,2.45,442.4,346.13,224.0,224.0,0.0,0.0
Vietnam,2012,478.0,187.22,200.32,90.28,146.0,146.0,0.0,0.0
Algeria,2013,537.0,1.84,213.58,321.22,0.0,0.0,0.0,0.0
Argentina,2013,858.0,14.94,382.58,460.28,107.0,89.0,0.0,1.0
Australia,2013,1454.0,526.24,578.04,350.0,101.0,52.0,10.0,25.0
Austria,2013,266.0,38.13,146.01,82.0,145.0,115.0,2.0,9.0
Azerbaijan,2013,150.0,0.04,56.16,94.18,4.0,4.0,0.0,0.0
Bangladesh,2013,304.0,14.76,70.06,219.53,2.0,2.0,0.0,0.0
Belarus,2013,294.0,9.76,91.43,192.7,1.0,0.0,0.0,0.0
Belgium,2013,552.0,40.91,345.84,165.33,38.0,1.0,7.0,10.0
Brazil,2013,2046.0,191.65,1471.0,383.83,1387.0,1066.0,0.0,18.0
Bulgaria,2013,141.0,69.13,44.21,27.54,20.0,11.0,4.0,4.0
Canada,2013,2571.0,239.34,1277.71,1054.41,1159.0,1068.0,4.0,30.0
Chile,2013,336.0,87.79,195.07,53.13,78.0,54.0,0.0,1.0
China,2013,30528.0,22902.13,5907.47,1718.79,3033.0,2479.0,23.0,377.0
Colombia,2013,352.0,58.69,188.61,104.77,133.0,121.0,0.0,0.0
Croatia,2013,70.0,7.85,35.98,26.54,26.0,23.0,0.0,1.0
Cyprus,2013,1570.7,0.0,27.19,411.3,184.7,123.4,0.0,1.0
Czechia,2013,379.0,196.5,102.04,80.79,30.0,7.0,6.0,1.0
Denmark,2013,160.0,37.67,83.79,38.3,48.0,0.0,1.0,30.0
Ecuador,2013,148.0,0.15,139.63,8.51,31.0,30.0,0.0,0.0
Egypt,2013,928.0,4.49,428.2,495.01,40.0,36.0,0.0,4.0
Estonia,2013,74.0,48.43,18.81,6.45,4.0,0.0,0.0,1.0
Finland,2013,202.0,58.04,114.5,29.71,78.0,35.0,0.0,2.0
France,2013,1501.0,134.49,915.13,451.43,299.0,193.0,13.0,44.0
Germany,2013,3147.0,963.4,1334.26,849.74,467.0,63.0,83.0,144.0
Greece,2013,287.0,81.26,164.76,41.45,41.0,17.0,10.0,11.0
Hong Kong,2013,325.0,90.38,209.57,24.83,0.0,0.0,0.0,0.0
Hungary,2013,188.0,26.58,70.44,90.8,10.0,1.0,0.0,2.0
Iceland,2013,1570.7,1.27,8.63,411.3,49.0,35.0,0.0,0.0
India,2013,6551.0,4009.73,2051.26,490.19,535.0,360.0,9.0,82.0
Indonesia,2013,1748.0,440.76,862.61,445.05,82.0,46.0,0.0,0.0
Iran,2013,2596.0,8.86,1049.06,1538.34,41.0,40.0,0.0,1.0
Iraq,2013,1570.7,511.6,390.69,70.73,13.0,13.0,0.0,0.0
Ireland,2013,148.0,23.79,79.8,44.67,17.0,2.0,0.0,12.0
Israel,2013,266.0,82.44,117.32,66.35,2.0,0.0,1.0,0.0
Italy,2013,1531.0,157.4,706.48,667.4,327.0,144.0,59.0,41.0
Japan,2013,5133.0,1409.44,2488.52,1235.37,341.0,216.0,35.0,14.0
Kazakhstan,2013,715.0,435.88,167.67,111.83,21.0,21.0,0.0,0.0
Kuwait,2013,425.0,3.19,243.75,177.7,184.7,123.4,0.0,0.0
Latvia,2013,34.0,0.84,19.22,14.06,10.0,8.0,0.0,0.0
Lithuania,2013,58.0,3.13,30.1,25.17,5.0,1.0,0.0,2.0
Luxembourg,2013,44.0,0.56,33.11,10.35,2.0,0.0,0.0,0.0
Malaysia,2013,1048.0,175.11,427.7,445.67,38.0,32.0,0.0,0.0
Mexico,2013,2101.0,148.23,1175.11,777.95,109.0,76.0,0.0,11.0
Morocco,2013,203.0,34.9,156.06,12.11,11.0,8.0,0.0,3.0
Netherlands,2013,1016.0,95.19,529.23,391.14,40.0,0.0,1.0,15.0
New Zealand,2013,151.0,17.88,86.02,47.06,89.0,63.0,0.0,6.0
North Macedonia,2013,26.0,13.54,10.82,1.51,4.0,4.0,0.0,0.0
Norway,2013,170.0,9.03,120.91,39.83,357.0,349.0,0.0,5.0
Oman,2013,317.0,0.52,99.68,217.28,184.7,123.4,0.0,0.0
Pakistan,2013,654.0,37.31,260.81,355.86,87.0,86.0,0.0,0.0
Peru,2013,194.0,10.24,116.81,67.03,69.0,61.0,1.0,0.0
Philippines,2013,328.0,116.33,178.41,33.61,57.0,27.0,0.0,0.0
Poland,2013,1083.0,620.82,287.98,174.1,59.0,7.0,0.0,16.0
Portugal,2013,207.0,30.82,132.87,43.18,85.0,37.0,1.0,33.0
Qatar,2013,481.0,0.08,127.64,352.79,184.7,123.4,0.0,0.0
Romania,2013,280.0,68.36,97.09,114.43,56.0,40.0,1.0,12.0
Russia,2013,7086.0,1052.71,1785.02,4248.67,495.0,494.0,0.0,0.0
Saudi Arabia,2013,2731.0,1.15,1779.67,950.28,184.7,123.4,0.0,0.0
Singapore,2013,810.0,3.06,706.99,100.15,184.7,123.4,0.0,0.0
Slovakia,2013,135.0,39.8,41.74,53.01,19.0,13.0,2.0,0.0
Slovenia,2013,52.0,15.52,28.66,8.11,15.0,13.0,1.0,0.0
South Africa,2013,1386.0,1027.61,318.12,40.54,6.0,3.0,1.0,0.0
South Korea,2013,2833.0,948.36,1335.02,549.76,32.0,12.0,5.0,3.0
Spain,2013,1121.0,132.55,685.28,303.28,315.0,100.0,36.0,152.0
Sri Lanka,2013,1570.7,5.58,53.99,411.3,20.0,19.0,0.0,1.0
Sweden,2013,199.0,25.04,164.08,10.24,238.0,167.0,0.0,27.0
Switzerland,2013,180.0,1.55,142.49,35.84,112.0,105.0,1.0,0.0
Taiwan,2013,1180.0,467.62,532.95,179.38,27.0,15.0,1.0,4.0
Thailand,2013,1257.0,188.54,579.44,488.64,52.0,15.0,3.0,1.0
Trinidad and Tobago,2013,230.0,0.0,26.73,203.56,0.0,0.0,0.0,0.0
Turkey,2013,1226.0,367.09,419.1,439.66,193.0,162.0,0.0,21.0
Turkmenistan,2013,1570.7,511.6,74.92,193.31,0.0,0.0,0.0,0.0
Ukraine,2013,1110.0,481.8,151.43,476.99,42.0,38.0,2.0,2.0
United Arab Emirates,2013,1133.0,20.58,464.93,647.5,184.7,123.4,0.0,0.0
United Kingdom,2013,2022.0,434.92,823.43,763.26,165.0,13.0,5.0,77.0
United States,2013,21720.0,5022.27,9627.55,7070.23,1836.0,726.0,44.0,462.0
Uzbekistan,2013,528.0,19.97,46.76,461.52,17.0,17.0,0.0,0.0
Venezuela,2013,801.0,2.45,475.89,323.06,222.0,222.0,0.0,0.0
Vietnam,2013,501.0,199.97,207.4,94.1,158.0,158.0,0.0,0.0
Algeria,2014,585.0,2.08,221.93,360.92,1.0,1.0,0.0,0.0
Argentina,2014,857.0,15.89,379.92,461.55,108.0,88.0,0.0,2.0
Australia,2014,1473.0,521.89,575.43,375.68,93.0,39.0,13.0,26.0
Austria,2014,250.0,35.02,140.0,75.11,145.0,111.0,2.0,10.0
Azerbaijan,2014,153.0,0.02,54.91,98.54,4.0,4.0,0.0,0.0
Bangladesh,2014,316.0,9.35,76.69,230.22,2.0,2.0,0.0,0.0
Belarus,2014,294.0,9.69,93.15,191.21,1.0,0.0,0.0,0.0
Belgium,2014,523.0,39.67,338.91,144.63,40.0,1.0,8.0,13.0
Brazil,2014,2140.0,203.77,1529.59,406.55,1385.0,1012.0,0.0,33.0
Bulgaria,2014,149.0,73.85,47.71,27.36,21.0,12.0,3.0,4.0
Canada,2014,2601.0,227.6,1274.66,1098.42,1130.0,1036.0,6.0,35.0
Chile,2014,326.0,88.56,193.47,43.99,84.0,62.0,1.0,4.0
China,2014,30831.0,22804.7,6142.52,1883.63,3552.0,2871.0,64.0,433.0
Colombia,2014,376.0,62.17,199.77,113.84,135.0,121.0,0.0,0.0
Croatia,2014,69.0,7.52,37.66,23.49,27.0,24.0,0.0,2.0
Cyprus,2014,1570.7,0.03,27.27,411.3,184.7,123.4,0.0,0.0
Czechia,2014,370.0,190.44,107.98,71.9,31.0,5.0,6.0,1.0
Denmark,2014,147.0,29.86,83.84,32.89,53.0,0.0,2.0,35.0
Ecuador,2014,156.0,0.14,147.07,8.73,33.0,31.0,0.0,0.0
Egypt,2014,916.0,4.52,449.2,462.19,40.0,37.0,0.0,3.0
Estonia,2014,70.0,47.36,17.41,5.07,4.0,0.0,0.0,2.0
Finland,2014,187.0,52.02,108.05,26.56,82.0,36.0,0.0,3.0
France,2014,1365.0,100.45,885.45,379.08,286.0,170.0,16.0,47.0
Germany,2014,2963.0,925.89,1298.32,738.95,495.0,53.0,96.0,158.0
Greece,2014,273.0,78.1,163.35,31.6,35.0,12.0,10.0,10.0
Hong Kong,2014,317.0,94.73,198.41,23.87,0.0,0.0,0.0,0.0
Hungary,2014,186.0,26.27,78.38,81.2,12.0,1.0,0.0,2.0
Iceland,2014,1570.7,1.04,9.02,411.3,49.0,35.0,0.0,0.0
India,2014,6994.0,4401.07,2107.81,485.02,573.0,377.0,13.0,91.0
Indonesia,2014,1769.0,469.07,859.08,440.42,85.0,41.0,0.0,0.0
Iran,2014,2706.0,10.55,961.55,1734.01,40.0,39.0,0.0,1.0
Iraq,2014,1570.7,511.6,388.3,75.31,8.0,8.0,0.0,0.0
Ireland,2014,146.0,23.39,78.99,43.28,19.0,2.0,0.0,14.0
Israel,2014,259.0,76.61,109.44,72.48,3.0,0.0,2.0,0.0
Italy,2014,1414.0,153.45,671.28,589.72,348.0,159.0,60.0,41.0
Japan,2014,4997.0,1385.74,2363.37,1247.52,376.0,221.0,64.0,14.0
Kazakhstan,2014,751.0,430.72,171.71,148.3,22.0,22.0,0.0,0.0
Kuwait,2014,432.0,2.53,250.6,178.71,184.7,123.4,0.0,0.0
Latvia,2014,33.0,0.7,19.32,12.64,8.0,5.0,0.0,0.0
Lithuania,2014,56.0,2.65,29.47,24.02,5.0,1.0,0.0,2.0
Luxembourg,2014,42.0,0.62,31.92,9.81,2.0,0.0,0.0,0.0
Malaysia,2014,1055.0,178.48,429.46,447.09,43.0,36.0,1.0,0.0
Mexico,2014,2058.0,147.94,1121.49,788.48,144.0,105.0,1.0,17.0
Morocco,2014,207.0,46.95,148.69,11.74,10.0,4.0,0.0,5.0
Netherlands,2014,967.0,105.31,518.62,343.28,38.0,0.0,2.0,16.0
New Zealand,2014,157.0,16.51,87.72,52.29,94.0,66.0,0.0,6.0
North Macedonia,2014,24.0,12.53,10.64,1.29,4.0,3.0,0.0,0.0
Norway,2014,167.0,9.89,114.9,42.67,375.0,367.0,0.0,6.0
Oman,2014,316.0,0.42,102.24,213.14,184.7,123.4,0.0,0.0
Pakistan,2014,675.0,55.0,269.73,349.87,89.0,88.0,1.0,1.0
Peru,2014,199.0,10.11,114.94,74.32,69.0,60.0,1.0,1.0
Philippines,2014,349.0,123.77,189.71,35.34,57.0,25.0,0.0,0.0
Poland,2014,1034.0,575.05,289.09,170.14,67.0,6.0,0.0,21.0
Portugal,2014,208.0,31.16,135.09,41.26,90.0,42.0,2.0,33.0
Qatar,2014,519.0,0.48,134.22,384.34,184.7,123.4,0.0,0.0
Romania,2014,281.0,67.59,104.19,108.73,70.0,50.0,4.0,13.0
Russia,2014,7116.0,1018.23,1875.54,4221.98,472.0,470.0,0.0,0.0
Saudi Arabia,2014,2932.0,1.59,1957.39,972.61,184.7,123.4,0.0,0.0
Singapore,2014,826.0,4.52,717.44,103.9,184.7,123.4,0.0,0.0
Slovakia,2014,122.0,39.09,38.73,43.87,19.0,11.0,2.0,0.0
Slovenia,2014,48.0,12.25,28.34,7.28,19.0,17.0,1.0,0.0
South Africa,2014,1397.0,1040.72,313.68,42.98,12.0,5.0,3.0,3.0
South Korea,2014,2811.0,981.56,1329.79,500.04,39.0,7.0,7.0,3.0
Spain,2014,1094.0,135.36,683.49,275.24,312.0,106.0,37.0,141.0
Sri Lanka,2014,1570.7,10.71,61.11,411.3,13.0,12.0,0.0,1.0
Sweden,2014,192.0,23.49,160.58,8.4,247.0,173.0,0.0,30.0
Switzerland,2014,160.0,1.58,127.74,31.05,111.0,103.0,2.0,0.0
Taiwan,2014,1211.0,472.62,549.87,188.68,24.0,12.0,1.0,4.0
Thailand,2014,1292.0,207.87,584.37,499.45,59.0,14.0,5.0,1.0
Trinidad and Tobago,2014,229.0,0.0,24.0,205.1,0.0,0.0,0.0,0.0
Turkey,2014,1318.0,420.15,431.1,466.47,144.0,110.0,0.0,23.0
Turkmenistan,2014,1570.7,511.6,78.39,199.63,0.0,0.0,0.0,0.0
Ukraine,2014,951.0,413.75,133.59,403.17,28.0,23.0,1.0,3.0
United Arab Emirates,2014,1130.0,22.95,472.74,634.35,184.7,123.4,1.0,0.0
United Kingdom,2014,1875.0,351.19,823.38,700.56,199.0,16.0,11.0,87.0
United States,2014,21927.0,5010.86,9693.27,7222.6,1888.0,693.0,79.0,497.0
Uzbekistan,2014,547.0,18.38,43.2,485.49,17.0,17.0,0.0,0.0
Venezuela,2014,765.0,2.29,422.26,340.27,218.0,218.0,0.0,0.0
Vietnam,2014,559.0,241.62,219.2,98.53,169.0,168.0,0.0,0.0
Algeria,2015,617.0,1.55,236.15,379.23,1.0,0.0,0.0,0.0
Argentina,2015,870.0,15.81,387.81,466.53,109.0,87.0,0.0,2.0
Australia,2015,1501.0,540.41,570.58,389.95,101.0,38.0,17.0,32.0
Austria,2015,257.0,38.0,138.96,79.68,138.0,100.0,3.0,13.0
Azerbaijan,2015,167.0,0.03,55.78,111.47,5.0,4.0,0.0,0.0
Bangladesh,2015,382.0,30.63,93.07,258.54,3.0,2.0,1.0,0.0
Belarus,2015,266.0,8.61,78.47,178.99,1.0,0.0,0.0,0.0
Belgium,2015,545.0,38.74,348.06,158.5,45.0,1.0,8.0,15.0
Brazil,2015,2071.0,204.98,1436.56,429.37,1408.0,969.0,0.0,58.0
Bulgaria,2015,160.0,76.24,53.3,30.0,25.0,15.0,4.0,4.0
Canada,2015,2610.0,228.96,1277.98,1103.32,1162.0,1029.0,8.0,73.0
Chile,2015,323.0,85.05,190.19,48.24,91.0,64.0,4.0,6.0
China,2015,30886.0,22329.04,6609.9,1946.9,3806.0,3001.0,106.0,500.0
Colombia,2015,349.0,57.78,179.19,112.12,134.0,120.0,0.0,0.0
Croatia,2015,70.0,7.04,39.13,24.21,21.0,17.0,0.0,2.0
Cyprus,2015,1570.7,0.04,27.93,411.3,184.7,123.4,0.0,1.0
Czechia,2015,370.0,189.86,104.88,75.39,31.0,5.0,6.0,2.0
Denmark,2015,139.0,21.24,84.77,33.09,56.0,0.0,2.0,38.0
Ecuador,2015,151.0,0.15,142.66,8.21,37.0,35.0,0.0,0.0
Egypt,2015,930.0,9.32,460.15,460.19,42.0,37.0,0.0,5.0
Estonia,2015,64.0,41.96,17.38,4.54,5.0,0.0,0.0,2.0
Finland,2015,176.0,44.41,108.59,22.88,93.0,45.0,0.0,6.0
France,2015,1393.0,99.87,885.43,407.52,280.0,147.0,20.0,57.0
Germany,2015,2981.0,915.06,1296.54,769.54,563.0,51.0,103.0,217.0
Greece,2015,270.0,65.44,170.2,34.13,42.0,16.0,11.0,12.0
Hong Kong,2015,326.0,77.9,217.86,30.46,0.0,0.0,0.0,0.0
Hungary,2015,198.0,27.23,83.99,87.11,12.0,1.0,0.0,2.0
Iceland,2015,1570.7,1.16,9.84,411.3,50.0,37.0,0.0,0.0
India,2015,7246.0,4490.47,2277.95,478.07,577.0,359.0,18.0,88.0
Indonesia,2015,1809.0,532.27,819.18,457.56,74.0,37.0,0.0,0.0
Iran,2015,2700.0,12.7,847.48,1840.19,36.0,36.0,0.0,0.0
Iraq,2015,1570.7,511.6,390.36,73.01,7.0,7.0,0.0,0.0
Ireland,2015,151.0,25.51,81.82,43.76,23.0,2.0,0.0,18.0
Israel,2015,272.0,75.03,116.4,80.53,4.0,0.0,3.0,0.0
Italy,2015,1497.0,143.4,710.44,643.15,318.0,123.0,62.0,40.0
Japan,2015,4854.0,1397.98,2268.36,1187.18,431.0,231.0,93.0,14.0
Kazakhstan,2015,617.0,318.01,160.72,138.03,25.0,25.0,0.0,0.0
Kuwait,2015,449.0,2.1,243.42,203.23,184.7,123.4,0.0,0.0
Latvia,2015,34.0,0.54,20.29,12.74,8.0,5.0,0.0,0.0
Lithuania,2015,58.0,2.12,32.24,24.04,6.0,1.0,0.0,2.0
Luxembourg,2015,41.0,0.57,31.36,8.94,2.0,0.0,0.0,0.0
Malaysia,2015,1070.0,202.3,398.84,468.4,45.0,37.0,1.0,0.0
Mexico,2015,2043.0,147.65,1087.81,807.83,130.0,83.0,1.0,24.0
Morocco,2015,209.0,51.7,145.52,11.77,12.0,5.0,0.0,7.0
Netherlands,2015,981.0,128.67,514.13,337.72,43.0,0.0,3.0,20.0
New Zealand,2015,156.0,16.67,91.32,48.02,96.0,66.0,0.0,6.0
North Macedonia,2015,24.0,11.3,11.41,1.3,5.0,5.0,0.0,0.0
Norway,2015,169.0,8.86,114.85,45.36,379.0,370.0,0.0,7.0
Oman,2015,337.0,0.57,105.74,230.46,184.7,123.4,0.0,0.0
Pakistan,2015,714.0,54.26,293.96,365.34,91.0,88.0,1.0,2.0
Peru,2015,209.0,9.42,122.69,76.43,73.0,64.0,1.0,2.0
Philippines,2015,384.0,135.08,216.06,33.23,60.0,23.0,0.0,2.0
Poland,2015,1039.0,566.05,302.29,170.99,73.0,5.0,0.0,29.0
Portugal,2015,220.0,37.91,133.88,48.2,71.0,23.0,2.0,31.0
Qatar,2015,592.0,0.28,157.8,433.75,184.7,123.4,0.0,0.0
Romania,2015,280.0,70.09,105.93,103.71,73.0,45.0,5.0,19.0
Russia,2015,6970.0,1071.36,1812.36,4086.75,455.0,452.0,1.0,0.0
Saudi Arabia,2015,3057.0,1.04,2063.19,992.27,184.7,123.4,0.0,0.0
Singapore,2015,876.0,4.73,755.17,115.79,184.7,123.4,0.0,0.0
Slovakia,2015,125.0,37.68,42.22,45.12,19.0,10.0,1.0,0.0
Slovenia,2015,48.0,12.38,27.92,7.72,12.0,10.0,1.0,0.0
South Africa,2015,1366.0,976.49,346.1,43.19,19.0,2.0,7.0,8.0
South Korea,2015,2843.0,993.22,1393.78,456.5,45.0,6.0,11.0,4.0
Spain,2015,1151.0,159.17,706.52,285.44,276.0,76.0,37.0,133.0
Sri Lanka,2015,1570.7,14.41,63.77,411.3,17.0,16.0,0.0,1.0
Sweden,2015,190.0,23.47,157.47,9.34,293.0,203.0,0.0,44.0
Switzerland,2015,164.0,1.45,129.34,33.17,112.0,103.0,3.0,0.0
Taiwan,2015,1225.0,458.45,564.61,201.8,25.0,12.0,2.0,4.0
Thailand,2015,1322.0,204.07,608.78,509.61,60.0,10.0,6.0,1.0
Trinidad and Tobago,2015,222.0,0.0,26.24,196.05,0.0,0.0,0.0,0.0
Turkey,2015,1380.0,404.03,516.4,459.59,227.0,181.0,1.0,31.0
Turkmenistan,2015,1570.7,511.6,78.94,253.86,0.0,0.0,0.0,0.0
Ukraine,2015,757.0,318.01,119.47,319.89,20.0,15.0,1.0,3.0
United Arab Emirates,2015,1229.0,19.94,494.15,714.71,184.7,123.4,1.0,0.0
United Kingdom,2015,1844.0,277.32,846.22,720.45,250.0,17.0,20.0,108.0
United States,2015,21656.0,4329.08,9890.72,7435.8,1923.0,664.0,106.0,519.0
Uzbekistan,2015,522.0,14.78,43.65,463.44,16.0,16.0,0.0,0.0
Venezuela,2015,768.0,1.53,395.69,370.38,202.0,201.0,0.0,0.0
Vietnam,2015,675.0,305.12,266.84,102.87,155.0,154.0,0.0,0.0
Algeria,2016,616.0,0.57,229.56,385.96,1.0,0.0,1.0,0.0
Argentina,2016,870.0,12.19,375.9,482.1,101.0,80.0,0.0,1.0
Australia,2016,1491.0,540.06,571.72,379.53,115.0,47.0,20.0,35.0
Austria,2016,262.0,35.45,143.47,83.42,146.0,107.0,3.0,14.0
Azerbaijan,2016,165.0,0.01,55.49,109.31,6.0,5.0,0.0,0.0
Bangladesh,2016,383.0,23.04,95.47,264.51,3.0,2.0,1.0,0.0
Belarus,2016,272.0,9.47,84.35,177.88,1.0,0.0,0.0,0.0
Belgium,2016,552.0,36.82,352.98,161.89,46.0,1.0,8.0,15.0
Brazil,2016,1916.0,185.15,1360.29,370.88,1475.0,1020.0,0.0,90.0
Bulgaria,2016,152.0,66.22,54.21,31.25,21.0,10.0,4.0,4.0
Canada,2016,2539.0,213.1,1273.51,1051.93,1182.0,1032.0,11.0,83.0
Chile,2016,346.0,86.26,200.92,59.16,88.0,53.0,7.0,7.0
China,2016,30594.0,21675.78,6823.58,2094.41,4137.0,3087.0,178.0,645.0
Colombia,2016,405.0,63.55,220.75,120.68,140.0,125.0,0.0,0.0
Croatia,2016,72.0,7.57,39.29,25.24,23.0,18.0,0.0,3.0
Cyprus,2016,1570.7,0.01,30.47,411.3,184.7,123.4,0.0,1.0
Czechia,2016,371.0,191.27,98.47,81.6,31.0,5.0,6.0,1.0
Denmark,2016,144.0,24.58,85.29,33.65,54.0,0.0,2.0,34.0
Ecuador,2016,143.0,0.09,134.04,8.86,44.0,42.0,0.0,0.0
Egypt,2016,983.0,14.17,475.5,493.54,42.0,35.0,1.0,6.0
Estonia,2016,66.0,44.06,16.95,4.98,5.0,0.0,0.0,2.0
Finland,2016,185.0,50.92,114.3,20.08,89.0,42.0,0.0,8.0
France,2016,1422.0,97.53,879.34,445.3,297.0,160.0,22.0,57.0
Germany,2016,3062.0,889.93,1323.32,848.85,563.0,55.0,101.0,214.0
Greece,2016,265.0,50.69,169.92,44.42,42.0,15.0,11.0,14.0
Hong Kong,2016,335.0,77.9,225.61,31.27,0.0,0.0,0.0,0.0
Hungary,2016,202.0,25.51,83.44,93.36,12.0,1.0,1.0,2.0
Iceland,2016,1570.7,1.34,10.84,411.3,49.0,36.0,0.0,0.0
India,2016,7594.0,4587.69,2498.03,507.91,587.0,344.0,31.0,116.0
Indonesia,2016,1781.0,544.32,790.22,446.31,108.0,50.0,0.0,0.0
Iran,2016,2820.0,10.56,846.63,1963.19,42.0,41.0,0.0,0.0
Iraq,2016,1570.7,511.6,423.89,98.96,9.0,9.0,0.0,0.0
Ireland,2016,160.0,24.5,86.16,49.21,22.0,2.0,0.0,16.0
Israel,2016,276.0,64.12,119.49,92.49,5.0,0.0,4.0,0.0
Italy,2016,1508.0,127.73,704.79,675.46,314.0,114.0,59.0,47.0
Japan,2016,4761.0,1395.39,2201.72,1164.17,422.0,213.0,116.0,14.0
Kazakhstan,2016,689.0,371.23,167.99,150.15,32.0,31.0,0.0,1.0
Kuwait,2016,443.0,2.59,229.07,211.5,184.7,123.4,0.0,0.0
Latvia,2016,35.0,0.48,20.93,13.2,10.0,7.0,0.0,0.0
Lithuania,2016,59.0,2.15,35.09,21.42,6.0,1.0,0.0,3.0
Luxembourg,2016,40.0,0.59,31.31,8.25,2.0,0.0,0.0,0.0
Malaysia,2016,1111.0,217.85,443.61,449.93,61.0,54.0,1.0,0.0
Mexico,2016,2093.0,144.63,1117.6,830.3,133.0,82.0,1.0,28.0
Morocco,2016,211.0,49.82,149.06,11.98,12.0,3.0,1.0,8.0
Netherlands,2016,988.0,119.28,517.63,351.47,45.0,0.0,4.0,22.0
New Zealand,2016,156.0,13.8,93.8,47.97,99.0,69.0,0.0,6.0
North Macedonia,2016,25.0,10.19,12.8,2.05,6.0,5.0,0.0,0.0
Norway,2016,164.0,9.1,111.02,43.78,392.0,382.0,0.0,6.0
Oman,2016,338.0,0.64,108.51,228.58,184.7,123.4,0.0,0.0
Pakistan,2016,777.0,62.12,328.85,386.51,98.0,93.0,1.0,2.0
Peru,2016,225.0,10.05,130.31,84.93,74.0,65.0,1.0,3.0
Philippines,2016,422.0,152.19,232.03,38.1,63.0,22.0,3.0,3.0
Poland,2016,1090.0,575.67,332.21,182.58,70.0,6.0,0.0,34.0
Portugal,2016,220.0,33.1,136.46,50.74,91.0,42.0,2.0,33.0
Qatar,2016,579.0,0.3,164.96,413.7,184.7,123.4,0.0,0.0
Romania,2016,278.0,62.38,110.91,104.95,75.0,48.0,5.0,18.0
Russia,2016,7090.0,1037.98,1845.69,4206.46,497.0,494.0,1.0,0.0
Saudi Arabia,2016,3180.0,0.86,2125.7,1053.17,184.7,123.4,0.0,0.0
Singapore,2016,924.0,4.95,799.98,119.02,184.7,123.4,0.0,0.0
Slovakia,2016,127.0,37.19,44.02,45.3,20.0,12.0,1.0,0.0
Slovenia,2016,51.0,13.24,29.97,8.19,14.0,12.0,1.0,0.0
South Africa,2016,1418.0,1050.05,331.86,36.55,23.0,2.0,9.0,11.0
South Korea,2016,2944.0,947.84,1519.51,476.44,53.0,8.0,15.0,5.0
Spain,2016,1143.0,122.07,730.21,291.22,296.0,97.0,37.0,131.0
Sri Lanka,2016,1570.7,15.25,76.56,411.3,13.0,11.0,0.0,1.0
Sweden,2016,196.0,23.03,162.58,9.99,260.0,166.0,0.0,41.0
Switzerland,2016,158.0,1.33,122.22,34.85,103.0,93.0,4.0,0.0
Taiwan,2016,1241.0,464.03,567.19,209.65,31.0,18.0,3.0,4.0
Thailand,2016,1344.0,208.03,630.47,505.64,67.0,9.0,10.0,1.0
Trinidad and Tobago,2016,197.0,0.0,27.77,169.44,0.0,0.0,0.0,0.0
Turkey,2016,1442.0,447.26,549.44,445.05,245.0,180.0,3.0,42.0
Turkmenistan,2016,1570.7,511.6,78.36,251.15,0.0,0.0,0.0,0.0
Ukraine,2016,817.0,377.39,125.16,314.21,25.0,21.0,1.0,3.0
United Arab Emirates,2016,1277.0,21.41,536.66,719.31,184.7,123.4,1.0,0.0
United Kingdom,2016,1819.0,141.17,870.94,806.74,249.0,14.0,28.0,99.0
United States,2016,21413.0,3960.74,9961.58,7490.99,2131.0,706.0,148.0,614.0
Uzbekistan,2016,497.0,17.46,45.92,433.27,18.0,18.0,0.0,0.0
Venezuela,2016,675.0,1.71,301.23,372.39,169.0,169.0,0.0,0.0
Vietnam,2016,727.0,330.18,294.42,102.39,173.0,172.0,0.0,1.0
Algeria,2017,622.0,2.12,225.51,394.63,2.0,0.0,1.0,0.0
Argentina,2017,867.0,12.53,371.48,483.0,109.0,84.0,0.0,2.0
Australia,2017,1494.0,521.53,599.58,372.84,108.0,36.0,24.0,35.0
Austria,2017,273.0,36.56,145.85,90.7,144.0,102.0,3.0,17.0
Azerbaijan,2017,162.0,0.01,56.06,106.17,5.0,5.0,0.0,0.0
Bangladesh,2017,400.0,25.12,109.05,265.93,3.0,3.0,1.0,0.0
Belarus,2017,276.0,9.79,83.87,182.09,2.0,1.0,0.0,0.0
