Country,Year,Fossil fuels,Gas,Coal,Oil,Solar,Wind,Renewables,Hydropower
Saudi Arabia,2001,"1,422 TWh",510.06 TWh,0.09 TWh,912.19 TWh,0 TWh,0 TWh,,
Singapore,2001,499 TWh,43.56 TWh,0.00 TWh,455.65 TWh,0 TWh,0 TWh,,
Slovakia,2001,161 TWh,71.74 TWh,51.44 TWh,37.86 TWh,0 TWh,0 TWh,15 TWh,14 TWh
Slovenia,2001,56 TWh,9.88 TWh,16.74 TWh,29.37 TWh,0 TWh,0 TWh,11 TWh,11 TWh
South Africa,2001,"1,155 TWh",13.83 TWh,871.07 TWh,269.98 TWh,0 TWh,0 TWh,6 TWh,5 TWh
South Korea,2001,"1,977 TWh",217.58 TWh,531.77 TWh,"1,227.48 TWh",0 TWh,0 TWh,7 TWh,7 TWh
Spain,2001,"1,272 TWh",190.69 TWh,222.92 TWh,858.15 TWh,0 TWh,20 TWh,146 TWh,121 TWh
Sri Lanka,2001,,,0.00 TWh,42.86 TWh,0 TWh,0 TWh,9 TWh,9 TWh
Sweden,2001,237 TWh,9.12 TWh,32.33 TWh,195.41 TWh,0 TWh,1 TWh,246 TWh,232 TWh
Switzerland,2001,190 TWh,29.46 TWh,1.68 TWh,158.70 TWh,0 TWh,0 TWh,124 TWh,121 TWh
Taiwan,2001,932 TWh,72.89 TWh,343.00 TWh,515.83 TWh,0 TWh,0 TWh,19 TWh,15 TWh
Thailand,2001,762 TWh,245.61 TWh,102.08 TWh,414.67 TWh,0 TWh,0 TWh,20 TWh,18 TWh
Trinidad and Tobago,2001,128 TWh,108.94 TWh,0.00 TWh,19.18 TWh,0 TWh,0 TWh,,
Turkey,2001,714 TWh,153.46 TWh,214.61 TWh,346.00 TWh,0 TWh,0 TWh,72 TWh,71 TWh
Turkmenistan,2001,,105.20 TWh,,46.03 TWh,0 TWh,0 TWh,0 TWh,0 TWh
USSR,2001,,,,,,,,
Ukraine,2001,"1,313 TWh",719.27 TWh,436.45 TWh,157.05 TWh,0 TWh,0 TWh,35 TWh,35 TWh
United Arab Emirates,2001,542 TWh,314.73 TWh,0.22 TWh,226.62 TWh,0 TWh,0 TWh,,
United Kingdom,2001,"2,409 TWh","1,008.53 TWh",452.55 TWh,947.92 TWh,0 TWh,3 TWh,29 TWh,12 TWh
United States,2001,"22,745 TWh","6,006.58 TWh","6,101.32 TWh","10,636.85 TWh",2 TWh,20 TWh,887 TWh,618 TWh
Uzbekistan,2001,584 TWh,490.59 TWh,9.22 TWh,84.05 TWh,0 TWh,0 TWh,18 TWh,18 TWh
Venezuela,2001,673 TWh,328.48 TWh,0.57 TWh,343.58 TWh,0 TWh,0 TWh,178 TWh,178 TWh
Vietnam,2001,189 TWh,19.30 TWh,59.60 TWh,109.65 TWh,0 TWh,0 TWh,53 TWh,53 TWh
Algeria,2002,322 TWh,194.84 TWh,8.55 TWh,118.40 TWh,0 TWh,0 TWh,0 TWh,0 TWh
Argentina,2002,532 TWh,294.38 TWh,4.59 TWh,232.87 TWh,0 TWh,0 TWh,106 TWh,104 TWh
Australia,2002,"1,289 TWh",228.15 TWh,598.87 TWh,461.97 TWh,0 TWh,2 TWh,53 TWh,47 TWh
Austria,2002,283 TWh,81.49 TWh,44.58 TWh,156.82 TWh,0 TWh,1 TWh,123 TWh,117 TWh
Azerbaijan,2002,120 TWh,75.99 TWh,0.02 TWh,43.70 TWh,0 TWh,0 TWh,6 TWh,6 TWh
